date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-23,CH,AG,Aargau,01,47.40966,8.15688,,,,,241.0,9.0,,1.0,,
2020-03-23,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,4.0,1.0,,,,
2020-03-23,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,30.0,4.0,,1.0,,
2020-03-23,CH,BE,Bern/Berne,02,46.823608,7.636667,,,,,470.0,,,5.0,,
2020-03-23,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,302.0,13.0,,3.0,,
2020-03-23,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,376.0,18.0,,5.0,,
2020-03-23,CH,FR,Fribourg,10,46.718391,7.074008,,,,,226.0,24.0,,4.0,,
2020-03-23,CH,GE,Genève,25,46.220528,6.132935,,,,,1509.0,92.0,,9.0,,
2020-03-23,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,31.0,7.0,,,,
2020-03-23,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,,,,,266.0,9.0,,6.0,,
2020-03-23,CH,JU,Jura,26,47.350744,7.156107,,,,,57.0,6.0,,,,
2020-03-23,CH,LU,Luzern,03,47.067763,8.1102,,,,,156.0,25.0,,1.0,,
2020-03-23,CH,NE,Neuchâtel,24,46.995534,6.780126,,,,,204.0,16.0,,2.0,,
2020-03-23,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,39.0,3.0,,,,
2020-03-23,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,25.0,5.0,,,,
2020-03-23,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,200.0,37.0,,,,
2020-03-23,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,30.0,2.0,,,,
2020-03-23,CH,SO,Solothurn,11,47.304135,7.639388,,,,,104.0,36.0,,1.0,,
2020-03-23,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,73.0,3.0,,,,
2020-03-23,CH,TG,Thurgau,01,47.568715,9.091957,,,,,81.0,6.0,,,,
2020-03-23,CH,TI,Ticino,21,46.295617,8.808924,,,,,1165.0,226.0,,48.0,,
2020-03-23,CH,UR,Uri,04,46.771849,8.628586,,,,,22.0,10.0,,,,
2020-03-23,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,1822.0,40.0,,17.0,,
2020-03-23,CH,VS,Valais/Wallis,23,46.209567,7.604659,,,,,492.0,60.0,,12.0,,
2020-03-23,CH,ZG,Zug,09,47.157296,8.537294,,,,,62.0,,,,,
2020-03-23,CH,ZH,Zürich,01,47.41275,8.65508,,,,,1068.0,177.0,,5.0,,
