date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,released,deaths,total_positive,tests_performed
2020-03-06 00:00:00,CH,0,0,0,0,208,0,0,,0,0,0
2020-03-07 00:00:00,CH,0,0,0,0,263,0,0,,0,0,0
2020-03-08 00:00:00,CH,0,0,0,0,328,0,0,,0,0,0
2020-03-09 00:00:00,CH,0,0,0,0,376,0,0,,0,0,0
2020-03-10 00:00:00,CH,0,0,0,0,505,0,0,,0,0,0
2020-03-11 00:00:00,CH,0,0,0,0,640,0,0,,0,0,0
2020-03-12 00:00:00,CH,0,0,0,0,880,0,0,,0,0,0
2020-03-13 00:00:00,CH,0,0,0,0,1205,0,0,,0,0,0
2020-03-14 00:00:00,CH,0,0,0,0,1607,0,0,,0,0,0
2020-03-15 00:00:00,CH,0,0,0,0,2155,0,0,,0,0,0
2020-03-16 00:00:00,CH,0,0,0,0,2327,0,0,,0,0,0
2020-03-17 00:00:00,CH,0,0,0,0,2650,0,0,,0,0,0
2020-03-18 00:00:00,CH,0,0,0,0,3815,0,0,,0,0,0
2020-03-19 00:00:00,CH,0,0,0,0,5118,0,0,,0,0,0
2020-03-20 00:00:00,CH,0,0,0,0,6427,0,0,,0,0,0
2020-03-21 00:00:00,CH,0,0,0,0,7385,0,0,,0,0,0
2020-03-22 00:00:00,CH,0,0,0,0,8160,0,0,,0,0,0
2020-03-23 00:00:00,CH,0,0,0,0,9055,0,0,,0,0,0
2020-03-24 00:00:00,CH,0,0,0,0,10051,0,0,,0,0,0
2020-03-25 00:00:00,CH,0,0,0,0,11081,0,0,,0,0,0
2020-03-26 00:00:00,CH,0,0,0,0,11761,0,0,,0,0,0
2020-03-27 00:00:00,CH,0,0,0,0,11872,0,0,,0,0,0
