date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-24,CH,AG,Aargau,01,47.40966,8.15688,,,,,266.0,25.0,,2.0,,
2020-03-24,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,8.0,4.0,,,,
2020-03-24,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,33.0,3.0,,2.0,,
2020-03-24,CH,BE,Bern/Berne,02,46.823608,7.636667,,,,,532.0,62.0,,6.0,,
2020-03-24,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,306.0,4.0,,4.0,,
2020-03-24,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,414.0,38.0,,5.0,,
2020-03-24,CH,FR,Fribourg,10,46.718391,7.074008,,,,,255.0,29.0,,5.0,,
2020-03-24,CH,GE,Genève,25,46.220528,6.132935,,,,,1598.0,89.0,,12.0,,
2020-03-24,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,33.0,2.0,,,,
2020-03-24,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,,,,,276.0,10.0,,6.0,,
2020-03-24,CH,JU,Jura,26,47.350744,7.156107,,,,,66.0,9.0,,,,
2020-03-24,CH,LU,Luzern,03,47.067763,8.1102,,,,,205.0,49.0,,2.0,,
2020-03-24,CH,NE,Neuchâtel,24,46.995534,6.780126,,,,,230.0,26.0,,2.0,,
2020-03-24,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,42.0,3.0,,,,
2020-03-24,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,25.0,0.0,,,,
2020-03-24,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,203.0,3.0,,1.0,,
2020-03-24,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,32.0,2.0,,,,
2020-03-24,CH,SO,Solothurn,11,47.304135,7.639388,,,,,129.0,25.0,,1.0,,
2020-03-24,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,80.0,7.0,,,,
2020-03-24,CH,TG,Thurgau,01,47.568715,9.091957,,,,,87.0,6.0,,1.0,,
2020-03-24,CH,TI,Ticino,21,46.295617,8.808924,,,,,1211.0,46.0,,53.0,,
2020-03-24,CH,UR,Uri,04,46.771849,8.628586,,,,,25.0,3.0,,,,
2020-03-24,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,2168.0,346.0,,21.0,,
2020-03-24,CH,VS,Valais/Wallis,23,46.209567,7.604659,,,,,544.0,52.0,,13.0,,
2020-03-24,CH,ZG,Zug,09,47.157296,8.537294,,,,,72.0,10.0,,,,
2020-03-24,CH,ZH,Zürich,01,47.41275,8.65508,,,,,1211.0,143.0,,5.0,,
