,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,new_positive_cases,new_deaths,total_hospitalized,intensive_care,total_currently_positive_per_100k,ncumul_ICU_intub,deaths_per_100k,released,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,ncumul_deceased_suspect,TotalPosTests1,ninst_ICU_intub,source,doubling_time_total_positive,doubling_time_fatalities
35,2020-04-19 21:59:12,2020-03-01 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,1,1,,0,0,,,0.56,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,0.0,0.0
47,2020-04-19 21:59:12,2020-03-02 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,1,1,,0,0,1,,0.56,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,0.0,0.0
59,2020-04-19 21:59:12,2020-03-03 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,1,1,,0,0,1,,0.56,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,0.0,0.0
75,2020-04-19 21:59:12,2020-03-04 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,8,8,,0,0,4,,4.49,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,0.0,0.0
90,2020-04-19 21:59:12,2020-03-05 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,9,9,,0,0,4,,5.06,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,0.0,0.0
103,2020-04-19 21:59:12,2020-03-06 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,13,13,,0,0,2,,7.3,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,1.351191,0.0
115,2020-04-19 21:59:12,2020-03-07 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,18,18,,0,0,2,,10.11,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,1.199062,0.0
124,2020-04-19 21:59:12,2020-03-08 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,24,24,,0,0,3,,13.48,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,1.090521,0.0
138,2020-04-19 21:59:12,2020-03-09 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,27,27,,0,0,4,,15.17,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,2.849185,0.0
149,2020-04-19 21:59:12,2020-03-10 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,31,31,,0,0,4,1,17.42,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,2.802264,0.0
